"repository","issue_number","title","source_url","source_state","issue_type","review_area","review_state","suggested_review_lane","evidence","next_step_checklist"
"grafana/grafana","131920","Git Sync: no-op interval sync never refreshes status.sync.Finished, so the controller polls the git provider every reconcile instead of every intervalSeconds","https://github.com/grafana/grafana/issues/131920","open","bug","reliability","suggested","Reliability review","issueType: type/bug | reviewArea: type/performance","Record the affected version, environment, recurrence, and visible impact. | Check the source for reproduction details and related reports. | Ask the responsible reliability owner to set priority."
"grafana/grafana","110483","Table: Add second footer row for filtered+sorted data","https://github.com/grafana/grafana/issues/110483","open","needs-review","observability","needs-review","Needs Review","reviewArea: area/panel/table","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"grafana/grafana","109000","Dashboard: Disconnect values Threshold in Visualization show no  values after update from 12.0.3 to 12.1.0","https://github.com/grafana/grafana/issues/109000","open","needs-review","observability","needs-review","Needs Review","reviewArea: area/panel/timeseries","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"grafana/grafana","98732","Correlations: Add documentation to remove noted gaps","https://github.com/grafana/grafana/issues/98732","open","needs-review","observability","needs-review","Needs Review","reviewArea: area/explore","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"grafana/grafana","131918","Unit symbols displayed in English on graph even with Russian localization selected","https://github.com/grafana/grafana/issues/131918","open","bug","observability","suggested","Observability review","issueType: type/bug | reviewArea: area/panel/timeseries","Identify the dashboard, alert, metric, or visualization surface involved. | Confirm expected behavior and the smallest reproducible example. | Ask the relevant observability owner to review the linked evidence."
"grafana/grafana","131913","ALLOW ME TO COPY THE ERRORS FROM THE UI","https://github.com/grafana/grafana/issues/131913","open","feature-request","general","needs-review","Needs Review","issueType: type/feature-request","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"grafana/grafana","131911","Goroutine and memory leak: HEAD requests with `Accept-Encoding: gzip` leak a `pgzip.Writer` per request","https://github.com/grafana/grafana/issues/131911","open","bug","reliability","suggested","Reliability review","issueType: type/bug | reviewArea: type/performance","Record the affected version, environment, recurrence, and visible impact. | Check the source for reproduction details and related reports. | Ask the responsible reliability owner to set priority."
"grafana/grafana","131856","Dashboard tab not sticky when scroll down","https://github.com/grafana/grafana/issues/131856","closed","bug","observability","closed-source","Closed source record review","issueType: type/bug | reviewArea: area/dashboard/scenes | reviewState: not_planned","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"grafana/grafana","131910","Dashboards: repeated panels shrink after v1→v2 migration when repeatDirection is not set (Grafana 13)","https://github.com/grafana/grafana/issues/131910","open","bug","observability","suggested","Observability review","issueType: type/bug | issueType: type/regression | reviewArea: area/dashboard/scenes | reviewArea: area/panel/repeat","Identify the dashboard, alert, metric, or visualization surface involved. | Confirm expected behavior and the smallest reproducible example. | Ask the relevant observability owner to review the linked evidence."
"grafana/grafana","131861","Dashboard: Filters with Dashborad data source make the source panel loose all data","https://github.com/grafana/grafana/issues/131861","open","bug","observability","suggested","Observability review","issueType: type/bug | reviewArea: area/dashboard/variable | reviewArea: area/dashboards/panel","Identify the dashboard, alert, metric, or visualization surface involved. | Confirm expected behavior and the smallest reproducible example. | Ask the relevant observability owner to review the linked evidence."
"grafana/grafana","131682","Variables: Repeating Rows show variable value instead of variable text","https://github.com/grafana/grafana/issues/131682","open","bug","observability","suggested","Observability review","issueType: type/bug | reviewArea: area/dashboard/rows | reviewArea: area/dashboard/templating | reviewArea: area/dashboard/variable","Identify the dashboard, alert, metric, or visualization surface involved. | Confirm expected behavior and the smallest reproducible example. | Ask the relevant observability owner to review the linked evidence."
"kubernetes/kubernetes","141506","Support numeric enums in +enum / +k8s:enum","https://github.com/kubernetes/kubernetes/issues/141506","open","needs-review","infrastructure","needs-review","Needs Review","reviewArea: sig/api-machinery","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141422","Empty DeviceTaintRule selector evicts every pod in the cluster, across namespaces and priorities, until the rule is removed","https://github.com/kubernetes/kubernetes/issues/141422","open","feature-request","infrastructure","needs-review","Needs Review","issueType: kind/feature | reviewArea: sig/node | reviewArea: sig/scheduling | reviewState: needs-triage","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141798","CVE-2026-84304 gRPC-Go: Heap Memory Exhaustion (OOM) via HTTP/2 DATA Frame Fragmentation","https://github.com/kubernetes/kubernetes/issues/141798","open","bug","infrastructure","needs-review","Needs Review","issueType: kind/bug | reviewArea: sig/architecture | reviewState: needs-triage","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141829","DRA: AllocationMode All errors for incomplete or invalid pools are not per-node failures","https://github.com/kubernetes/kubernetes/issues/141829","open","bug","infrastructure","needs-review","Needs Review","issueType: kind/bug | reviewArea: sig/node | reviewState: needs-triage","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141214","DRA: allocator should fail closed (per-node) on a malformed ResourceSlice nodeSelector term count","https://github.com/kubernetes/kubernetes/issues/141214","open","bug","infrastructure","suggested","Infrastructure review","issueType: kind/bug | reviewArea: sig/node","Record the component, version, environment, and visible impact. | Confirm whether the source includes reproduction or validation evidence. | Ask the responsible infrastructure owner to review the issue."
"kubernetes/kubernetes","137148","Table format streaming tests may flake due to CreationTime to Age conversion","https://github.com/kubernetes/kubernetes/issues/137148","closed","needs-review","infrastructure","closed-source","Closed source record review","reviewArea: sig/api-machinery | reviewState: needs-triage | reviewState: completed","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141818","apiserver_init_events_total counts events after watcher was already terminated","https://github.com/kubernetes/kubernetes/issues/141818","open","bug","infrastructure","needs-review","Needs Review","issueType: kind/bug | reviewArea: sig/api-machinery | reviewState: needs-triage","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141803","[Flaking tests] k8s.io/kubernetes/test/integration/scheduler/preemption/podgroup tests timing out","https://github.com/kubernetes/kubernetes/issues/141803","open","needs-review","infrastructure","needs-review","Needs Review","reviewArea: sig/scheduling | reviewState: needs-triage","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","140797","DRA: dedicated allocation can overlap a live persisted shared allocation after allowMultipleAllocations is disabled","https://github.com/kubernetes/kubernetes/issues/140797","closed","bug","infrastructure","closed-source","Closed source record review","issueType: kind/bug | reviewArea: sig/node | reviewState: needs-triage | reviewState: completed","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","138411","fsgroup does not work with Hostpath volume as non root user","https://github.com/kubernetes/kubernetes/issues/138411","open","bug","infrastructure","needs-review","Needs Review","issueType: kind/bug | reviewArea: sig/storage | reviewState: needs-triage","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141703","kubectl kuberc set accepts an empty option name","https://github.com/kubernetes/kubernetes/issues/141703","closed","bug","infrastructure","closed-source","Closed source record review","issueType: kind/bug | reviewArea: sig/cli | reviewState: completed","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","134671","Tracking: Enable Kube-API-Linter rules","https://github.com/kubernetes/kubernetes/issues/134671","open","needs-review","infrastructure","needs-review","Needs Review","reviewArea: sig/api-machinery | reviewArea: sig/architecture","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141620","DeviceTaintRule with deviceSelector omitted blocks device allocation cluster-wide, including adminAccess claims, contradicting documented behavior","https://github.com/kubernetes/kubernetes/issues/141620","closed","bug","infrastructure","closed-source","Closed source record review","issueType: kind/bug | reviewArea: sig/node | reviewArea: sig/scheduling | reviewState: completed","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141814","In-place Pod resize drops CPU/memory keys from PodStatus.Resources depending on resize dimension","https://github.com/kubernetes/kubernetes/issues/141814","open","bug","infrastructure","needs-review","Needs Review","issueType: kind/bug | reviewArea: sig/node | reviewState: needs-triage","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141634","Migrate ObjectMeta handwritten validations to DV","https://github.com/kubernetes/kubernetes/issues/141634","open","cleanup","infrastructure","suggested","Infrastructure review","issueType: kind/cleanup | reviewArea: area/api-validation | reviewArea: area/code-generation | reviewArea: sig/api-machinery","Record the component, version, environment, and visible impact. | Confirm whether the source includes reproduction or validation evidence. | Ask the responsible infrastructure owner to review the issue."
"kubernetes/kubernetes","141819","E2E testing: check for goroutine leaks","https://github.com/kubernetes/kubernetes/issues/141819","open","feature-request","general","needs-review","Needs Review","issueType: kind/feature | reviewState: needs-triage","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","135058","DRA: measure and track performance of ""experimental"" allocator","https://github.com/kubernetes/kubernetes/issues/135058","open","feature-request","general","needs-review","Needs Review","issueType: kind/feature | reviewState: needs-triage","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141516","[Umbrella issue] metrics API post-GA action item","https://github.com/kubernetes/kubernetes/issues/141516","open","needs-review","observability","needs-review","Needs Review","reviewArea: [Umbrella issue] metrics API post-GA action item","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141652","Introduce model-based correctness and linearizability testing for k8s storage","https://github.com/kubernetes/kubernetes/issues/141652","open","feature-request","infrastructure","suggested","Infrastructure review","issueType: kind/feature | reviewArea: sig/api-machinery","Record the component, version, environment, and visible impact. | Confirm whether the source includes reproduction or validation evidence. | Ask the responsible infrastructure owner to review the issue."
"kubernetes/kubernetes","141806","ImageGarbageCollect when ImageMaximumGCAge is set should not GC unused images prematurely consistently timing out","https://github.com/kubernetes/kubernetes/issues/141806","open","failing-test","infrastructure","suggested","Infrastructure review","issueType: kind/failing-test | reviewArea: sig/node","Record the component, version, environment, and visible impact. | Confirm whether the source includes reproduction or validation evidence. | Ask the responsible infrastructure owner to review the issue."
"kubernetes/kubernetes","141624","e2e_node image configs use a negated character class instead of excluding the -cgroupsv1 suffix","https://github.com/kubernetes/kubernetes/issues/141624","open","bug","infrastructure","suggested","Infrastructure review","issueType: kind/bug | reviewArea: sig/node","Record the component, version, environment, and visible impact. | Confirm whether the source includes reproduction or validation evidence. | Ask the responsible infrastructure owner to review the issue."
"kubernetes/kubernetes","141635","e2e_node/remote/gce: readiness polling drops terminal errors and shadows the ready instance","https://github.com/kubernetes/kubernetes/issues/141635","open","bug","infrastructure","needs-review","Needs Review","issueType: kind/bug | reviewArea: sig/node | reviewState: triage/needs-information","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141514","[Failing Tes] ci-kubernetes-e2e-capz-master-windows.Overall on main and 1.37","https://github.com/kubernetes/kubernetes/issues/141514","closed","failing-test","general","closed-source","Closed source record review","issueType: kind/failing-test | reviewState: needs-triage | reviewState: completed","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","137096","[Failing Test] [SIG Node] pull-kubernetes-node-e2e-containerd-serial-ec2-canary not running e2e test suite","https://github.com/kubernetes/kubernetes/issues/137096","closed","failing-test","infrastructure","closed-source","Closed source record review","issueType: kind/failing-test | reviewArea: sig/node | reviewState: completed","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141404","DATA RACE: kubelet updateEmptyDirVolumeLimitsFromAllocation","https://github.com/kubernetes/kubernetes/issues/141404","open","bug","infrastructure","suggested","Infrastructure review","issueType: kind/bug | reviewArea: sig/node | reviewArea: sig/storage","Record the component, version, environment, and visible impact. | Confirm whether the source includes reproduction or validation evidence. | Ask the responsible infrastructure owner to review the issue."
"kubernetes/kubernetes","141433","A pod using a Dynamic Resource Allocation claim got permanently stuck in CreateContainerError after its node rebooted, with no automatic recovery.","https://github.com/kubernetes/kubernetes/issues/141433","closed","bug","infrastructure","closed-source","Closed source record review","issueType: kind/bug | reviewArea: sig/node | reviewState: needs-triage | reviewState: completed","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141439","kubelet: `dropCacheFor` does not invalidate name-keyed trust bundle cache entries when the ClusterTrustBundle has a `spec.signerName`","https://github.com/kubernetes/kubernetes/issues/141439","open","bug","needs-review","needs-review","Needs Review","issueType: kind/bug | reviewArea: area/kubelet | reviewArea: sig/auth | reviewState: needs-triage","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141606","[InPlacePodLevelResourcesVerticalScaling] In-place pod resize events do not capture pod-level resources","https://github.com/kubernetes/kubernetes/issues/141606","open","bug","infrastructure","needs-review","Needs Review","issueType: kind/bug | reviewArea: sig/node | reviewState: needs-triage","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"kubernetes/kubernetes","141473","Kubelet restart preserves stale readiness for a replaced container when the API server status is outdated","https://github.com/kubernetes/kubernetes/issues/141473","open","bug","infrastructure","suggested","Infrastructure review","issueType: kind/bug | reviewArea: sig/node","Record the component, version, environment, and visible impact. | Confirm whether the source includes reproduction or validation evidence. | Ask the responsible infrastructure owner to review the issue."
"kubernetes/kubernetes","141491","After node scale-out, the anti-affinity pods between two pods are scheduled to the newly added node.","https://github.com/kubernetes/kubernetes/issues/141491","open","bug","infrastructure","needs-review","Needs Review","issueType: kind/bug | reviewArea: sig/node | reviewArea: sig/scheduling | reviewState: triage/needs-information","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","33588","If/Filter/Switch nodes: ""Matches Regex"" silently never matches patterns containing uppercase characters when ""Ignore Case"" is enabled","https://github.com/n8n-io/n8n/issues/33588","open","needs-review","integrations","needs-review","Needs Review","reviewArea: team:nodes","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","37780","Msitral issue with the msitral node in model for ai agents","https://github.com/n8n-io/n8n/issues/37780","open","needs-review","integrations","needs-review","Needs Review","reviewArea: team:ai","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","37779","AI Agent V3: retryOnFail silently wipes tool-call context on Max Iterations error, retry budget resets every cycle so it can loop indefinitely","https://github.com/n8n-io/n8n/issues/37779","open","needs-review","general","needs-review","Needs Review","","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","37377","2.36.x MCP execute_workflow exposes pre-2.36 schema while runtime requires triggerNodeName","https://github.com/n8n-io/n8n/issues/37377","open","needs-review","general","needs-review","Needs Review","","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","37690","Qdrant Vector Store returns fetch failed on n8n Cloud 2.37.7","https://github.com/n8n-io/n8n/issues/37690","open","needs-review","integrations","needs-review","Needs Review","reviewArea: team:ai","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","37777","Mistral","https://github.com/n8n-io/n8n/issues/37777","closed","needs-review","general","closed-source","Closed source record review","reviewState: closed:incomplete-template | reviewState: completed","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","37773","Set-Cookie response headers are silently dropped from webhook responses (started 2026-09-03)","https://github.com/n8n-io/n8n/issues/37773","open","needs-review","integrations","needs-review","Needs Review","reviewArea: Set-Cookie response headers are silently dropped from webhook responses (started 2026-09-03)","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","37770","Published workflow updated trigger only triggering if a trigger node has been edited","https://github.com/n8n-io/n8n/issues/37770","open","needs-review","general","needs-review","Needs Review","","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","36868","Gmail trigger doesnt poll every minute on published as configured in the node.","https://github.com/n8n-io/n8n/issues/36868","open","needs-review","integrations","needs-review","Needs Review","reviewArea: team:nodes | reviewState: Needs Feedback","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","35393","Google Vertex Chat Model error when using gemini-3.5-flash with configured tool","https://github.com/n8n-io/n8n/issues/35393","open","needs-review","integrations","needs-review","Needs Review","reviewArea: team:ai","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","37276","HTTP Request JSON Body editor does not persist changes to the workflow","https://github.com/n8n-io/n8n/issues/37276","open","needs-review","general","needs-review","Needs Review","","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","37584","invalid JSON error using Datetime expression in Set node","https://github.com/n8n-io/n8n/issues/37584","open","needs-review","general","needs-review","Needs Review","","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","36859","Schedule Trigger workflows stay active but produce zero trigger executions until durable scheduler migration","https://github.com/n8n-io/n8n/issues/36859","open","needs-review","general","needs-review","Needs Review","reviewArea: Schedule Trigger workflows stay active but produce zero trigger executions until durable scheduler migration","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","37354","AI Agent re-connects and re-fetches tools/list from every attached MCP Client Tool before every model call (~7s per MCP sub-node per iteration) — cache per execution","https://github.com/n8n-io/n8n/issues/37354","open","needs-review","integrations","needs-review","Needs Review","reviewArea: team:nodes","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","36847","Google Chat button clicks never reach n8n Cloud webhook (zero executions) — identical curl requests succeed","https://github.com/n8n-io/n8n/issues/36847","open","needs-review","integrations","needs-review","Needs Review","reviewArea: Google Chat button clicks never reach n8n Cloud webhook (zero executions) — identical curl requests succeed","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","37360","Personal Agent gets stuck indefinitely without error or workflow execution","https://github.com/n8n-io/n8n/issues/37360","open","needs-review","general","needs-review","Needs Review","","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","37341","Workflow settings update fails with ""column distinctAlias.SharedWorkflow_projectId does not exist"" on workflows with sharing history","https://github.com/n8n-io/n8n/issues/37341","open","needs-review","general","needs-review","Needs Review","","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","36883","AI Agent silently drops model responses containing (parallel) tool calls to node-based tools","https://github.com/n8n-io/n8n/issues/36883","open","needs-review","integrations","needs-review","Needs Review","reviewArea: team:ai","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","37281","Email Trigger (IMAP) leaves processed email attachments in binary_data","https://github.com/n8n-io/n8n/issues/37281","open","needs-review","general","needs-review","Needs Review","","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","37282","export:entities fails when binary_data contains large files","https://github.com/n8n-io/n8n/issues/37282","open","needs-review","general","needs-review","Needs Review","","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"n8n-io/n8n","36932","GPT 5 - Unsupported parameter","https://github.com/n8n-io/n8n/issues/36932","open","needs-review","integrations","needs-review","Needs Review","reviewArea: team:nodes","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
